date,pm25,no2,aqi,year,month,season
2023-08-30,2.2525,10.726666666666667,1.25,2023,8,Summer
2023-08-31,5.472083333333334,27.25333333333333,1.2083333333333333,2023,8,Summer
2023-09-01,11.564583333333333,39.357083333333335,1.625,2023,9,Autumn
2023-09-02,8.998333333333333,16.125833333333333,1.5,2023,9,Autumn
2023-09-03,10.416666666666666,25.247083333333332,1.9583333333333333,2023,9,Autumn
2023-09-04,21.81958333333333,23.24875,2.7083333333333335,2023,9,Autumn
2023-09-05,29.830416666666668,26.250416666666666,3.0,2023,9,Autumn
2023-09-06,32.23041666666666,46.22541666666667,3.2083333333333335,2023,9,Autumn
2023-09-07,35.49,35.39333333333333,3.375,2023,9,Autumn
2023-09-08,46.96625,73.995,3.6666666666666665,2023,9,Autumn
2023-09-09,37.7825,55.838750000000005,3.25,2023,9,Autumn
2023-09-10,35.98833333333334,36.17916666666667,2.9166666666666665,2023,9,Autumn
2023-09-11,13.635416666666666,18.981666666666666,1.9166666666666667,2023,9,Autumn
2023-09-12,4.0808333333333335,19.374583333333334,1.0833333333333333,2023,9,Autumn
2023-09-13,4.239583333333333,23.519166666666667,1.5,2023,9,Autumn
2023-09-14,8.332083333333333,33.236666666666665,1.7916666666666667,2023,9,Autumn
2023-09-15,17.5225,47.39625,2.4166666666666665,2023,9,Autumn
2023-09-16,13.611666666666666,24.272499999999997,2.0,2023,9,Autumn
2023-09-17,10.450833333333334,14.144166666666665,1.9583333333333333,2023,9,Autumn
2023-09-18,3.4912500000000004,11.903333333333334,1.25,2023,9,Autumn
2023-09-19,3.1487499999999997,6.4991666666666665,1.5833333333333333,2023,9,Autumn
2023-09-20,2.73,9.18,1.8333333333333333,2023,9,Autumn
2023-09-21,4.172916666666667,24.504166666666666,1.125,2023,9,Autumn
2023-09-22,3.5500000000000003,17.42875,1.0833333333333333,2023,9,Autumn
2023-09-23,2.0883333333333334,12.524999999999999,1.2083333333333333,2023,9,Autumn
2023-09-24,2.6095833333333336,8.345833333333333,1.9583333333333333,2023,9,Autumn
2023-09-25,6.634166666666666,16.230416666666667,1.7083333333333333,2023,9,Autumn
2023-09-26,8.02125,19.574166666666667,1.5416666666666667,2023,9,Autumn
2023-09-27,9.17375,20.909166666666668,1.9583333333333333,2023,9,Autumn
2023-09-28,5.2195833333333335,12.185833333333333,1.625,2023,9,Autumn
2023-09-29,3.2945833333333336,13.85125,1.3333333333333333,2023,9,Autumn
2023-09-30,3.41,22.96,1.0,2023,9,Autumn
2023-10-01,7.4195652173913045,19.16913043478261,1.6521739130434783,2023,10,Autumn
2023-10-02,11.015833333333333,35.25125,1.75,2023,10,Autumn
2023-10-03,3.6045833333333337,12.940833333333332,1.25,2023,10,Autumn
2023-10-04,2.8204166666666666,13.832500000000001,1.125,2023,10,Autumn
2023-10-05,3.04125,15.172916666666666,1.625,2023,10,Autumn
2023-10-06,4.710416666666666,13.89125,1.6666666666666667,2023,10,Autumn
2023-10-07,4.95125,15.287083333333333,1.4583333333333333,2023,10,Autumn
2023-10-08,11.525,31.530416666666667,1.75,2023,10,Autumn
2023-10-09,15.858333333333333,37.964999999999996,2.125,2023,10,Autumn
2023-10-10,13.017916666666666,25.433333333333334,1.8333333333333333,2023,10,Autumn
2023-10-11,15.55625,16.592916666666667,2.0833333333333335,2023,10,Autumn
2023-10-12,7.68,26.082916666666666,1.25,2023,10,Autumn
2023-10-13,5.16125,10.620416666666667,1.7083333333333333,2023,10,Autumn
2023-10-14,1.6283333333333332,13.767916666666666,1.0833333333333333,2023,10,Autumn
2023-10-15,5.7437499999999995,21.25125,1.5416666666666667,2023,10,Autumn
2023-10-16,6.34375,36.37083333333333,1.4583333333333333,2023,10,Autumn
2023-10-17,5.708749999999999,18.528333333333332,1.5,2023,10,Autumn
2023-10-18,9.265833333333333,18.59,1.5416666666666667,2023,10,Autumn
2023-10-19,2.7675,16.35291666666667,1.25,2023,10,Autumn
2023-10-20,4.113333333333333,25.962083333333336,1.0833333333333333,2023,10,Autumn
2023-10-21,3.8191666666666664,19.127916666666668,1.0,2023,10,Autumn
2023-10-22,4.269166666666666,25.6075,1.25,2023,10,Autumn
2023-10-23,6.065,31.745833333333334,1.2083333333333333,2023,10,Autumn
2023-10-24,7.565833333333334,35.047916666666666,1.5833333333333333,2023,10,Autumn
2023-10-25,12.308749999999998,31.039166666666663,1.625,2023,10,Autumn
2023-10-26,6.07125,32.98666666666667,1.3333333333333333,2023,10,Autumn
2023-10-27,5.3812500000000005,31.409166666666668,1.375,2023,10,Autumn
2023-10-28,1.0450000000000002,12.381666666666668,1.5,2023,10,Autumn
2023-10-29,0.7995833333333334,9.062083333333334,2.0,2023,10,Autumn
2023-10-30,2.94125,25.35166666666667,1.6666666666666667,2023,10,Autumn
2023-10-31,6.197500000000001,31.495833333333334,1.375,2023,10,Autumn
2023-11-01,1.1333333333333333,12.512500000000001,1.625,2023,11,Autumn
2023-11-02,1.4329166666666666,15.338333333333333,1.5,2023,11,Autumn
2023-11-03,1.4291666666666665,17.464583333333334,1.375,2023,11,Autumn
2023-11-04,2.03375,20.581666666666667,1.2916666666666667,2023,11,Autumn
2023-11-05,2.86125,16.953333333333333,1.125,2023,11,Autumn
2023-11-06,1.185,16.34375,1.1666666666666667,2023,11,Autumn
2023-11-07,1.6820833333333332,20.102083333333333,1.0,2023,11,Autumn
2023-11-08,2.200416666666667,24.075833333333332,1.6666666666666667,2023,11,Autumn
2023-11-09,1.4866666666666666,17.986666666666668,1.2916666666666667,2023,11,Autumn
2023-11-10,2.5716666666666668,23.54125,1.25,2023,11,Autumn
2023-11-11,7.7437499999999995,26.38208333333333,1.4583333333333333,2023,11,Autumn
2023-11-12,6.3500000000000005,37.58583333333333,1.5416666666666667,2023,11,Autumn
2023-11-13,1.7945833333333334,11.897083333333335,1.6666666666666667,2023,11,Autumn
2023-11-14,1.0608333333333333,12.087916666666667,1.5,2023,11,Autumn
